"CHR","n","percentage"
"1",200,10.01001001001
"10",78,3.9039039039039
"11",135,6.75675675675676
"12",94,4.7047047047047
"13",20,1.001001001001
"14",48,2.4024024024024
"15",62,3.1031031031031
"16",117,5.85585585585586
"17",175,8.75875875875876
"18",20,1.001001001001
"19",152,7.60760760760761
"2",110,5.50550550550551
"20",69,3.45345345345345
"21",20,1.001001001001
"22",54,2.7027027027027
"3",108,5.40540540540541
"4",32,1.6016016016016
"5",91,4.55455455455455
"6",106,5.30530530530531
"7",107,5.35535535535536
"8",59,2.95295295295295
"9",89,4.45445445445445
"X",51,2.55255255255255
"Y",1,0.05005005005005
