"CHR","n","percentage"
"1",32,9.3841642228739
"10",10,2.93255131964809
"11",24,7.03812316715543
"12",15,4.39882697947214
"13",6,1.75953079178886
"14",6,1.75953079178886
"15",8,2.34604105571848
"16",23,6.74486803519062
"17",29,8.50439882697947
"18",1,0.293255131964809
"19",43,12.6099706744868
"2",16,4.69208211143695
"20",11,3.2258064516129
"21",2,0.586510263929619
"22",10,2.93255131964809
"3",10,2.93255131964809
"4",1,0.293255131964809
"5",14,4.10557184750733
"6",25,7.33137829912024
"7",18,5.27859237536657
"8",10,2.93255131964809
"9",18,5.27859237536657
"X",8,2.34604105571848
"Y",1,0.293255131964809
