"CHR","n","percentage"
"1",101,9.67432950191571
"10",37,3.54406130268199
"11",77,7.37547892720306
"12",46,4.40613026819923
"13",10,0.957854406130268
"14",23,2.20306513409962
"15",26,2.4904214559387
"16",57,5.45977011494253
"17",98,9.38697318007663
"18",10,0.957854406130268
"19",102,9.77011494252874
"2",54,5.17241379310345
"20",39,3.73563218390805
"21",12,1.14942528735632
"22",30,2.8735632183908
"3",49,4.69348659003831
"4",17,1.62835249042146
"5",51,4.88505747126437
"6",47,4.50191570881226
"7",53,5.07662835249042
"8",30,2.8735632183908
"9",52,4.98084291187739
"X",21,2.01149425287356
"Y",2,0.191570881226054
