"CHR","n","percentage"
"1",109,10.4206500956023
"10",46,4.39770554493308
"11",78,7.45697896749522
"12",50,4.78011472275335
"13",9,0.860420650095602
"14",25,2.39005736137667
"15",19,1.81644359464627
"16",66,6.30975143403442
"17",88,8.41300191204589
"18",12,1.1472275334608
"19",79,7.55258126195029
"2",47,4.49330783938815
"20",45,4.30210325047801
"21",8,0.764818355640535
"22",35,3.34608030592734
"3",50,4.78011472275335
"4",17,1.62523900573614
"5",54,5.16252390057361
"6",56,5.35372848948375
"7",50,4.78011472275335
"8",26,2.48565965583174
"9",50,4.78011472275335
"X",26,2.48565965583174
"Y",1,0.0956022944550669
